landmark_id;clan;year;month;date;session;hyenas;utme;utmn
Grits_Den;serenan;2013;07;2013-07-09;s10038;hucn;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;jude;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;logc;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;mchl;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;rama;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;rmon;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;spud;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;strm;724180;9846138
Grits_Den;serenan;2013;07;2013-07-09;s10038;wf;724180;9846138
Schiphol_Den;serenan;2013;07;2013-07-10;s10040;bilj;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10040;crim;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10040;dalt;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10040;hndy;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10040;ink;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10040;slim;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10040;spud;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;arro;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;cstz;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;jude;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;logc;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;mchl;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;rama;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;rmon;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10044;strm;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10047;bilj;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10047;crim;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10047;spud;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10048;hndy;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10048;ratc;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10048;spud;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10049;hndy;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10049;ratc;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-10;s10049;spud;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-11;s10050;gobe;723441;9844921
Schiphol_Den;serenan;2013;07;2013-07-11;s10050;lcs;723441;9844921
Grits_Den;serenan;2013;07;2013-07-11;s10057;jude;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10057;mchl;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;bilj;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;crim;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;cstz;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;lady;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;logc;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;pol;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;rama;724180;9846138
Grits_Den;serenan;2013;07;2013-07-11;s10058;rmon;724180;9846138
