utme;utmn;landmark_id;clan;year
719746;9847140;Merry_Christmas_Den;serena.n;2012
716255;9842748;Mexicalli_Den;happy.zebra;2012
743272;9838305;Middle_Horseshoe_Natal_Den;talek;2001
719721;9937675;Migration_Den;happy.zebra;2022
719675;9837753;Migration_Den_2;happy.zebra;2022
719817;9837650;Migration_Den_3;happy.zebra;2023
719680;9837699;Migration_Den_4;happy.zebra;2023
719569;9837708;Migration_Den_5;happy.zebra;2023
726313;9842410;Milky_Way_Den_Deleted;serena.s;2011
721772;9847129;Mindy's_Den;serena.n;2013
724573;9842044;Moat_Den;serena.s;2015
720892;9838075;Moonset_Den;happy.zebra;2015
719942;9851358;Moscow_Den;serena.n;2011
747043;9838583;Mountaineer_Den;talek;2016
755183;9835637;MP's_1999_Natal_Den;talek;2001
725291;9840944;Mr._Eko_Den;serena.s;2014
717251;9842925;Mtafiti_Fisi_Good_Day_Den;happy.zebra;2018
724000;9838092;Munchkin_Den;serena.s;2008
720449;9847591;National_Cornchip_Day_Den;serena.n;2013
724749;9839441;Nchoko_Den;serena.s;2021
724689;9839404;Nchoko_Den_2;serena.s;2021
749935;9835100;New_Jackal_Hill_Den;talek;2010
727399;9840910;Nightmare_Den;serena.s;2012
742941;9831923;Nimekufa_Kindani_Den;talek;2018
744984;9840806;No_See_Em_Den;talek;2004
716267;9842643;Nogales_Den;happy.zebra;2009
741877;9835276;Nomadic_Den;talek;2015
744086;9832317;NUDI's_Den;talek;2019
744117;9832275;NUDI's_Den_2;talek;2019
724224;9846508;Nyumba_Ndege_Den;serena.n;2011
725466;9841032;Oceanic_Den;serena.s;2009
719224;9848877;Ollivander's_Den;serena.n;2010
719198;9848864;Ollivander's_Den_2;serena.n;2019
754697;9835861;Olosogon_Clearing_Communal_Den_Complex;talek;2001
754909;9835790;Olosogon_West_Bank_Natal_Den;talek;2002
718352;9849222;Oodelali_Den;serena.n;2015
725445;9840897;Orchid_Den;serena.s;2009
719597;9851224;Oslo_Den;serena.n;2011
753542;9837353;Over_the_River_Den;talek;2005
724934;9841116;Oxytocin_Den;serena.s;2012
721091;9840261;Oy_Vey_Den;happy.zebra;2013
744924;9841395;Pain_in_the_Butt_Den;talek;2007
734359;9837362;Panoramic_Communal_Den_(aD);talek;2001
746378;9836793;Paradise_Den;talek;2003
726011;9842445;Passionfruit_Den;serena.s;2015
725783;9840988;Pearl_Den;serena.s;2009
746293;9839498;Plantation_Den;talek;2001
717122;9845961;Playground_Den;happy.zebra;2018
725352;9840838;Polar_Bear_Den;serena.s;2010
724448;9842095;Portcullis_Den;serena.s;2015
747622;9837700;Pothole_Den;talek;2012
726069;9841910;Precipice_Den;serena.s;2017
726027;9841858;Precipice_Den_II;serena.s;2017
726025;9841891;Precipice_Den_III;serena.s;2018
726027;9841858;Precipice_Den_ll;serena.s;2017
717846;9849364;Privet_Drive_Den;serena.n;2010
724422;9841651;Railroad_Den;serena.s;2008
726091;9842140;Rang_Natal_Den;serena.s;2017
745281;9840331;Ranger_Den;talek;2004
719000;9851018;Ravenclaw_Den;serena.n;2010
722500;9844773;Redemption_Den;serena.n;2008
726279;9842474;Reese's_Den;serena.s;2011
747569;9838508;Resurrection_Communal_Den;talek;2003
747453;9838546;Resurrection_Main_Den;talek;2013
719658;9851418;Reykjavik_Den;serena.n;2011
720119;9850866;Riga_Den;serena.n;2014
716415;9843882;Rio_Grande_Den;happy.zebra;2011
723719;9841457;Rivendell_Den;serena.s;2010
746619;9836966;Roadside_Den;talek;2006
716191;9842646;Rocky_Point_Den;happy.zebra;2010
725441;9840912;Rousseau_Den;serena.s;2013
744912;9834809;Runway_Den;serena.n;2020
723060;9844579;Runway_Den;serena.n;2008
723190;9844517;Runway_Den_3;serena.n;2019
723175;9844446;Runway_Den_4;serena.n;2020
723179;9844719;Runway_Den_II;serena.n;2008
725054;9840520;Saito's_Den;serena.s;2022
724929;9840470;Saito's_Den_2;serena.s;2022
720032;9850724;Salander_Den;serena.n;2010
749522;9838398;Saucy_Natal_Den;talek;2013
716352;9844324;Sault_St._Marie_Den;happy.zebra;2011
725256;9840952;Sawyer_Den;serena.s;2010
722522;9841425;Scenic_Den;serena.s;2022
723441;9844921;Schiphol_Den;serena.n;2010
720374;9839933;Schmuck_Den;happy.zebra;2013
720201;9839904;Schmuzty_Den;happy.zebra;2013
724111;9846482;Scrapple_Den;serena.n;2011
723326;9844804;Seatac_Den;serena.n;2009
753809;9835136;Simba_Sausage_Tree_Communal_Den;talek;2001
731627;9840990;Sleepy_Den;happy.zebra;2009
713397;9847252;Sleepy_Den;happy.zebra;2019
719259;9850909;Slytherin_Den;serena.n;2010
