year;landmark_id;month;session;utme;utmn;clan
2015;Tigris_Den;03;s16324;719693;9838330;happyzebra
2015;Cannibal_Cami_Den;04;s16334;718608;9836934;happyzebra
2015;Oodelali_Den;04;s16393;718352;9849222;serenan
2015;Sneaky_Rock;04;s16688;725623;9841853;serenas
2015;Guava_Den;04;s16724;725917;9842387;serenas
2015;Moat_Den;04;s16726;724573;9842044;serenas
2015;Portcullis_Den;05;s16747;724448;9842095;serenas
2015;Monolith;05;s16778;726441;9842206;serenas
2015;Moonset_Den;07;s16870;720892;9838075;happyzebra
2008;Airfield;11;s1693;723651;9844648;serenan
2015;Nogales_Den;09;s16954;716267;9842643;happyzebra
2015;Albatross_Den;08;s17089;718494;9849303;serenan
2015;Mango_Den;07;s17296;726226;9842324;serenas
2015;Kit_Kat_Den;12;s17658;726433;9842488;serenas
2015;Twix_Den;12;s17707;726356;9842540;serenas
2015;Meatloaf_Den;10;s17773;715241;9843545;happyzebra
2015;Windsor_Den;10;s17775;716432;9842596;happyzebra
2009;DeGaulle_Den_II;01;s1778;723670;9844868;serenan
2009;DeGaulle_Den;02;s1779;723652;9844975;serenan
2015;Blowin'_in_the_Wind_Tree;10;s17792.1;721116;9845013;happyzebra
2015;Rocky_Spot;10;s17809;731691;9832225;happyzebra
2016;Twix_Den;01;s18137;726356;9842540;serenas
2016;Cripple_Tree;02;s18290;727202;9842261;serenas
2016;Kit_Kat_Den;02;s18356;726433;9842488;serenas
2016;Monolith;03;s18415;726441;9842206;serenas
2016;IAT_Den;01;s18545;718355;9849119;serenan
2016;J_Fab_Den;01;s18588;718389;9849092;serenan
2016;Houdini_Den;02;s18943;716763;9843937;happyzebra
2008;Coincidence_D;10;s190;719522;9837495;happyzebra
2009;Runway_Den;04;s1914;723060;9844579;serenan
2016;Black_Bellied_Bustard_Bird_Junction;06;s19146;717929;9843588;happyzebra
2016;Sneaky_Hole;04;s19200;717935;9849965;serenan
2016;Oodelali_Den;04;s19200;718352;9849222;serenan
2016;Ollivander's_Den;06;s19480;719224;9848877;serenan
2009;Airfield;04;s1965;723651;9844648;serenan
2016;Colossus_of_Rhodes_Den;07;s19884;725114;9841436;serenas
2016;FML_Den;07;s19898.1;725171;9841252;serenas
2016;Ilvermorny_Den;08;s20027;719409;9848777;serenan
2016;Two_Term_Tree;09;s20149;719196;9848470;serenan
2016;Portkey_Junction;09;s20149;719362;9848345;serenan
2016;Kabbalah_Den;09;s20184;718423;9849180;serenan
2016;Reach_Out_and_Touch_Mound;09;s20184;718766;9849195;serenan
2016;Portcullis_Den;12;s20198.1;724448;9842095;serenas
2016;Moat_Den;08;s20228;724573;9842044;serenas
2016;Bastion_Den;08;s20262.1;724676;9842170;serenas
2016;Turret_Den;09;s20305;724950;9842127;serenas
2016;Granualie_Gen;07;s20351;721416;9841468;happyzebra
2016;ARBA_Natal_Den;07;s20352;721527;9841357;happyzebra
2016;Cacophony_Den;07;s20378.1;716718;9843752;happyzebra
2016;Hullabaloo_Den;08;s20415;716721;9843423;happyzebra
2016;Uproar_Den;08;s20429;716771;9843244;happyzebra
2016;Clamor_Den;08;s20437;716904;9843283;happyzebra
2016;Metropolitan_Tree;09;s20449;716285;9842750;happyzebra
2016;Hubbub_Den;09;s20468;716847;9843520;happyzebra
2016;Extortion_Den;09;s20472;717163;9843805;happyzebra
2016;Judith_Den2;10;s20488;718910;9849244;serenan
2016;Judith_Den;10;s20520;718861;9849286;serenan
2016;Tiny_Violet_Princess_Den;10;s20821;716339;9843900;happyzebra
2016;Nogales_Den;10;s20848;716267;9842643;happyzebra
2016;Windsor_Den;11;s20863;716432;9842596;happyzebra
2016;Calexico_Den;12;s20897;716384;9842738;happyzebra
2016;Blowin'_in_the_Wind_Tree;12;s20920;721116;9845013;happyzebra
2017;Judith_Den;01;s20943;718861;9849286;serenan
2017;J_Fab_Den;02;s21007;718389;9849092;serenan
2017;IAT_Den;02;s21018;718355;9849119;serenan
2017;Portcullis_Den;01;s21061;724448;9842095;serenas
2017;Moat_Den;01;s21063;724573;9842044;serenas
2017;The_Abyss;02;s21124;725061;9842224;serenas
2017;Bran_Den;02;s21128;724394;9842200;serenas
2017;TSA_Den;02;s21133;724439;9841751;serenas
2017;Bastion_Den;02;s21144;724676;9842170;serenas
2017;Windsor_Den;01;s21185;716432;9842596;happyzebra
2017;Texarkana_Den;01;s21194;716373;9842739;happyzebra
2017;Blowin'_in_the_Wind_Tree;01;s21194;721116;9845013;happyzebra
2017;Angry_Ele_Den;03;s21289;718523;9844405;happyzebra
2017;Ambush_Gardenia;03;s21289;718904;9844347;happyzebra
2017;Sneaky_Hole;05;s21341;717935;9849965;serenan
2017;Two_Term_Tree;06;s21396;719196;9848470;serenan
2017;Defenestrate_Den2;05;s21523;725495;9841916;serenas
2017;Love_Shack_Mound;05;s21529;726404;9842532;serenas
2017;Ugli_Den;05;s21529;726305;9842484;serenas
2017;Suzi_Den_3;06;s21635;726324;9842426;serenas
2009;Airstrip_Den;07;s2171;723463;9844931;serenan
2017;Angry_Ele_Den_2;05;s21749;718503;9844377;happyzebra
2017;Super_Conspicuous_Bush;05;s21777;718541;9844712;happyzebra
2017;Lugga_Den;06;s21786;718649;9844548;happyzebra
2017;Lugga_Den2;06;s21823;718624;9844590;happyzebra
2017;Lugga_Den_lll;07;s21856.1;718592;9844639;happyzebra
2017;Suzi_Den;07;s21937;726298;9842460;serenas
2017;Mango_Den_ll;07;s22032;726233;9842257;serenas
2017;Mango_Den;07;s22035;726226;9842324;serenas
2017;Bberry_Den;07;s22044;725937;9841648;serenas
2017;Precipice_Den_ll;07;s22047;726027;9841858;serenas
2017;Precipice_Den;07;s22058;726069;9841910;serenas
2017;Sneaky_Rock;08;s22132;725623;9841853;serenas
2017;Rang_Natal_Den;09;s22185;726091;9842140;serenas
2009;Seatac_Den;08;s2228;723326;9844804;serenan
2017;Bright_Eyes_Den_ll;07;s22332;718276;9848942;serenan
2017;Bright_Eyes_Den;07;s22340;718430;9848948;serenan
2017;Kabbalah_Den;08;s22427.1;718423;9849180;serenan
2017;Diagon_Alley_ll;08;s22438;717981;9849311;serenan
2017;Diagon_Alley_Den;08;s22442;717949;9849283;serenan
2017;Diagon_Alley_Den_II;09;s22507;717981;9849311;serenan
2009;Redemption_Den;08;s2251;722500;9844773;serenan
2017;Gringotts_Den;09;s22512;718155;9849595;serenan
2017;Whomping_Willow_Den;12;s22937;718529;9849152;serenan
2009;Soda_Fountain_Den;09;s2294;718914;9851295;serenan
2017;Meatloaf_Den;11;s22986.1;715241;9843545;happyzebra
2018;Meatloaf_Den;01;s23017;715241;9843545;happyzebra
2018;Whomping_Willow_Den;01;s23065;718529;9849152;serenan
2018;IAT_Den;02;s23145;718355;9849119;serenan
2018;J_Fab_Den;02;s23152;718389;9849092;serenan
2018;Precipice_Den;01;s23182;726069;9841910;serenas
2018;Precipice_Den_ll;01;s23200;726027;9841858;serenas
2018;Precipice_Den_III;02;s23277;726025;9841891;serenas
2018;Precipice_Den_II;04;s23371;726027;9841858;serenas
2018;Crunk_Den;04;s23457;718375;9849268;serenan
2018;Kabbalah_Den;04;s23457.2;718423;9849180;serenan
2018;Hipposhi_Tree;05;s23510;720252;9850728;serenan
2018;Crunk_Den_2;05;s23516.1;718357;9849270;serenan
2018;Albatross_Den;05;s23542;718494;9849303;serenan
2018;Comatose_Culvert;05;s23651;718092;9841661;happyzebra
2018;Mtafiti_Fisi_Good_Day_Den;05;s23651;717251;9842925;happyzebra
2018;All_Hallows'_Eve_Den;07;s23734;720265;9848034;serenan
2018;Some_Freaky_Lions_Den;08;s23781;719768;9848458;serenan
2018;WAFL_Natal_Den;08;s23844;719230;9849296;serenan
2018;FML_Den;07;s23920;725171;9841252;serenas
2018;Culvert_City_Den;07;s24067;718169;9842580;happyzebra
2018;Dying_Cub_Culvert;07;s24072;718528;9842766;happyzebra
2018;Silk_Natal_Den;08;s24093;717186;9846659;happyzebra
2018;Wapi_Dave_Den;08;s24097;714577;9847556;happyzebra
2018;Oodelali_D2;11;s24253;718330;9849213;serenan
2018;Crunk_D3;11;s24271;718332;9849272;serenan
2018;Crunk_D4;11;s24291;718328;9849289;serenan
2018;Crunk_Den_II;11;s24302;718357;9849270;serenan
2018;Crunk_D5;11;s24322;718210;9849295;serenan
2018;Crunk_D7;11;s24328;718227;9849357;serenan
2018;Crunk_D6;11;s24328;718219;9849318;serenan
2018;TEDY_Natal_Den;12;s24336;718187;9849410;serenan
2018;Gringotts_Den_2;12;s24343;718197;9849416;serenan
2018;Solid_Bottom_Crossing;10;s24519;717259;9846612;happyzebra
2019;Ollivander's_Den_2;01;s24692;719198;9848864;serenan
2019;Log_Cabin's_Culvert;01;s24751;721069;9840826;serenan
2010;Redemption_Den;02;s2480;722500;9844773;serenan
2008;CERN_Den;11;s249;719534;9838825;happyzebra
2019;Truck_Stop_D;02;s25108;718315;9846176;happyzebra
2010;Runway_Den;05;s2783;723060;9844579;serenan
2010;Airstrip_Den;05;s2783;723463;9844931;serenan
2010;Stanky_Watering_Hole;07;s2977;721834;9847328;serenan
2010;Unremarkable_Den;07;s2983;722850;9847268;serenan
2010;Mag_Den;08;s3041;719366;9850839;serenan
2010;Gryffindor_Den;08;s3051;719173;9851289;serenan
2010;Slytherin_Den;08;s3062;719259;9850909;serenan
2010;Ravenclaw_Den;08;s3070;719000;9851018;serenan
2010;Hufflepuff_Den;09;s3084;718886;9851135;serenan
2010;Thug_Mansion_Den;09;s3084;718946;9851053;serenan
2010;Durmstrang_Den;09;s3092;719067;9851012;serenan
2010;Beauxbatons_Den;09;s3100;718987;9850937;serenan
2010;Diagon_Alley_Den;10;s3117;717949;9849283;serenan
2009;CERN_Den;01;s314;719534;9838825;happyzebra
2010;Seatac_Den;10;s3152;723326;9844804;serenan
2010;Hogshead_Den;10;s3156;717723;9849485;serenan
2010;Privet_Drive_Den;10;s3157;717846;9849364;serenan
2010;Chamber_of_Secrets_Den;10;s3169;717726;9849379;serenan
2010;3_Broomsticks_Den;11;s3185;717702;9849474;serenan
2010;IAT_Den;11;s3203;718355;9849119;serenan
2010;Ollivander's_Den;12;s3286;719224;9848877;serenan
2008;South_Den;11;s3337;724375;9842053;serenas
2008;Railroad_Den;12;s3382;724422;9841651;serenas
2008;Phil's_Tree;12;s3406;724090;9842018;serenas
2008;Muddy_Waters;12;s3406;723516;9841763;serenas
2009;Railroad_Den;01;s3414;724422;9841651;serenas
2009;Hanging_Gardens_Den;01;s3431;724783;9841530;serenas
2009;9km_Marker;02;s351;718048;9842058;happyzebra
2009;Amazon_Den;02;s354;719656;9838561;happyzebra
2009;Suzi_Den;05;s3576.1;726298;9842460;serenas
2009;Cripple_Tree;05;s3585;727202;9842261;serenas
2009;Suzi_Den_II;05;s3591;726321;9842497;serenas
2009;Ice_Age_Den;06;s3633;727052;9842117;serenas
2009;Elm_Street_Den;06;s3633;726446;9842434;serenas
2009;The_Hatch_Den;08;s3705;727333;9840695;serenas
2009;Orchid_Den;08;s3720;725445;9840897;serenas
2009;Hydra_Den;08;s3734;725559;9840851;serenas
2009;Pearl_Den;09;s3787;725783;9840988;serenas
2009;Oceanic_Den;09;s3802;725466;9841032;serenas
2009;Jackson's_Hole_Den;10;s3819;725657;9841081;serenas
2009;Big_Sky_Den;10;s3836;725670;9841131;serenas
2009;Foggy_Den;11;s3859;724958;9840745;serenas
2009;Snowbird_Den;11;s3892;725146;9840846;serenas
2009;Dudu_Den;12;s3921;725634;9840969;serenas
2009;Western_Front;12;s3939;723896;9840291;serenas
2010;Orchid_Den;01;s3958;725445;9840897;serenas
2010;Dudu_Den;01;s3962;725634;9840969;serenas
2010;Jackson's_Hole_Den;01;s3970;725657;9841081;serenas
2010;Oceanic_Den;01;s3977;725466;9841032;serenas
2010;Submarine_Den;03;s4077;725144;9840834;serenas
2010;Polar_Bear_Den;05;s4164;725352;9840838;serenas
2010;Dharma_Den;05;s4180;725495;9840858;serenas
2010;Pearl_Den;05;s4184;725783;9840988;serenas
2010;Foggy_Den;06;s4227;724958;9840745;serenas
2010;Hurley_Den;07;s4328;725185;9840831;serenas
2010;Locke_Den;08;s4329;725145;9840826;serenas
2010;Hallelujah_Den;08;s4352;723071;9841425;serenas
2009;Egyptian_Goose;03;s438;718296;9839943;happyzebra
2010;Rivendell_Den;09;s4380;723719;9841457;serenas
2010;Muddy_Waters;09;s4381;723516;9841763;serenas
2010;Snowbird_Den;10;s4393;725146;9840846;serenas
2010;FML_Den;10;s4393;725171;9841252;serenas
2010;Boone_Den;10;s4407;725499;9840852;serenas
2009;Holy_Grail_Den_II;03;s453;718859;9840103;happyzebra
2010;Sawyer_Den;12;s4532;725256;9840952;serenas
2009;Holy_Grail_Den;04;s459;719087;9840152;happyzebra
2011;Lighthouse_Den;01;s4646;727206;9840510;serenas
2011;The_Staff_Den;02;s4810;727253;9840510;serenas
2011;Suzi_Den;03;s4914;726298;9842460;serenas
2011;Reese's_Den;03;s4927;726279;9842474;serenas
2011;Ice_Age_Den;04;s5002;727052;9842117;serenas
2011;Kit_Kat_Den;05;s5008;726433;9842488;serenas
2011;Milky_Way_Den_Deleted;05;s5008;726313;9842410;serenas
2011;Twix_Den;05;s5047;726356;9842540;serenas
2011;Heath_Den;06;s5076;726486;9842170;serenas
2011;Rock_Lobster;06;s5129;726082;9842504;serenas
2011;Suzi_Den_II;06;s5134.3;726321;9842497;serenas
2011;Kuni_Beach;06;s5139.1;728652;9842728;serenas
2011;The_Hatch_Den;07;s5213;727333;9840695;serenas
2011;Casino_X;08;s5295;727028;9841002;serenas
2011;Mr._Cluck's_Chicken_Shack_Den;08;s5295;726936;9840626;serenas
2011;Def_Leppard_Crossing;08;s5308;727558;9840214;serenas
2011;Tailies_Den;09;s5318;726801;9840354;serenas
2011;Schiphol_Den;01;s5945;723441;9844921;serenan
2011;Helsinki_Den;01;s5961;719644;9851282;serenan
2011;Oslo_Den;01;s5982;719597;9851224;serenan
2011;Stockholm_Den;01;s5989.1;719632;9851320;serenan
2011;Tallinn_Den;01;s6010;719639;9851358;serenan
2011;Copenhagen_Den;01;s6010;719620;9851394;serenan
2011;Reykjavik_Den;02;s6074;719658;9851418;serenan
2011;Gothenburg_Den;02;s6128.1;719679;9851370;serenan
2011;Aarhus_Den;02;s6128.1;719884;9851382;serenan
2011;Serena_Camp;03;s6130.6;724390;9845214;serenan
2011;Moscow_Den;03;s6130.7;719942;9851358;serenan
2011;Mega_Junction;03;s6162;720751;9851603;serenan
2011;St_Petersburg_Den;03;s6213.1;719940;9851218;serenan
2011;Nyumba_Ndege_Den;04;s6265;724224;9846508;serenan
2011;Scrapple_Den;04;s6266;724111;9846482;serenan
2011;Lalalugga;04;s6276;724043;9846510;serenan
2011;The_Grotto;06;s6423;723715;9846490;serenan
2011;Grits_Den;06;s6470;724180;9846138;serenan
2011;Crepes_Den;06;s6576;724243;9846030;serenan
