clan;year;session;location;landmark_id;utme;utmn
talek;2005;t54057;o;Hi_Step_X;753017;9835704
talek;2005;t54059;o;No_See_Em_Den;744849;9840461
talek;2005;t54060;o;No_See_Em_Den;744667;9840806
talek;2005;t54063;o;Talek_Lugga_Crossing;745020;9840096
talek;2005;t54064;o;Talek_Lugga_Crossing;744996;9839945
talek;2005;t54065;o;Talek_Lugga_Crossing;744996;9839945
talek;2005;t54066;o;Talek_Lugga_Crossing;744996;9839945
talek;2005;t54067;o;Talek_Lugga_Crossing;744799;9839708
talek;2005;t54068;o;Fig_Tree_Lugga_-_Top;744089;9840070
talek;2005;t54069;o;SRP_T;753713;9836695
talek;2005;t54071;o;Hi_Step_X;753327;9834637
talek;2005;t54072;o;Hi_Step_X;753026;9836022
talek;2005;t54073;o;Hi_Step_X;753307;9835990
talek;2005;t54078;d;No_See_Em_Den;744984;9840806
talek;2005;t54079;d;No_See_Em_Den;744984;9840806
talek;2005;t54080;d;No_See_Em_Den;744984;9840806
talek;2005;t54081;d;No_See_Em_Den;744984;9840806
talek;2005;t54083;o;Coral_Reef;745218;9839424
talek;2005;t54084;o;Top_TL_X;744948;9839872
talek;2005;t54085;k;LB_X;743569;9837547
talek;2005;t54086;o;Talek_Lugga_Crossing;745220;9840109
talek;2005;t54087;o;Talek_Lugga_Crossing;745102;9840232
talek;2005;t54090;o;Border_Tree;745616;9838783
talek;2005;t54091;k;Maji_Fisi;745516;9838398
talek;2005;t54092;o;Maji_Fisi;745518;9838398
talek;2005;t54094;o;High_Step_Crossing;753309;9835319
talek;2005;t54095;o;High_Step_Crossing;752726;9835602
talek;2005;t54099;o;Border_Tree;745238;9839216
talek;2005;t54102;o;Dave_X;753395;9836888
talek;2005;t54103;o;Dave's_Lugga_Crossing;753550;9836804
talek;2005;t54104;o;Croton_Isl;750041;9836967
talek;2005;t54106;o;Hi_Step_X;743177;9835337
talek;2005;t54110;o;Talek_Lugga_Crossing;745016;9840054
talek;2005;t54112;o;Talek_Lugga_-_Top;744746;9839983
talek;2005;t54113;o;Hi_Step_X;753311;9835987
talek;2005;t54114;o;Hi_Step_X;753311;9835987
talek;2005;t54119;o;Talek_Lugga_-_Top;744744;9839765
talek;2005;t54120;o;Talek_Lugga_-_Top;744814;9839938
talek;2005;t54121;o;Talek_Lugga_-_Top;744987;9839895
talek;2005;t54122;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54123;c;Middle_SRL_X;752380;9836634
talek;2005;t54124;o;Hi_Step_X;753339;9835946
talek;2005;t54125;o;Hi_Step_X;753442;9835885
talek;2005;t54127;o;Talek_Lugga_Crossing;745204;9840112
talek;2005;t54130;o;Talek_Lugga_-_Top;744828;9840655
talek;2005;t54131;o;Talek_Lugga_-_Top;745041;9839862
talek;2005;t54132;o;Talek_Lugga_-_Top;744589;9839501
talek;2005;t54134;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54135;o;Masai_X;753803;9837452
talek;2005;t54137;o;Hi_Step_X;753046;9835797
talek;2005;t54138;o;Hi_Step_X;753164;9835573
talek;2005;t54139;o;Hi_Step_X;753282;9835902
talek;2005;t54141;o;Talek_Lugga_-_Top;744688;9839995
talek;2005;t54143;d;No_See_Em_Den;744984;9840806
talek;2005;t54148;o;Dave_X;753492;9836125
talek;2005;t54149;o;Dave_X;753580;9836286
talek;2005;t54150;k;Twin_T_X;753939;9836645
talek;2005;t54153;o;Border_Tree;745159;9838916
talek;2005;t54154;o;Border_Tree;745086;9839230
talek;2005;t54155;k;Talek_Lugga_-_Top;744973;9839427
talek;2005;t54156;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54157;c;Top_T_L_X;744994;9839483
talek;2005;t54158;o;Little_Bend_Crossing;744307;9838557
talek;2005;t54160;o;Hi_Step_X;752675;9835378
talek;2005;t54161;o;Hi_Step_X;753026;9835602
talek;2005;t54163;c;Border_Tree;745657;9838793
talek;2005;t54164;c;Maji_Fisi;745073;9838564
talek;2005;t54166;o;Maji_Fisi;745213;9838360
talek;2005;t54167;o;Border_Tree;745494;9838835
talek;2005;t54168;o;Talek_Lugga_Crossing;745027;9839924
talek;2005;t54170;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54171;k;SRP_T;753240;9836651
talek;2005;t54173;o;Rocky_Pl;752713;9835858
talek;2005;t54174;o;Hi_Step_X;752967;9835742
talek;2005;t54175;o;Rocky_Pl;753103;9836080
talek;2005;t54176;o;Maji_Fisi;744974;9838324
talek;2005;t54177;o;Aardwolf_CD;745441;9838081
talek;2005;t54179;o;Guard_X;745056;9836411
talek;2005;t54180;k;Maji_Fisi;744735;9838115
talek;2005;t54181;c;Maji_Fisi;745018;9838398
talek;2005;t54182;o;Border_Tree;745310;9838783
talek;2005;t54183;o;Fig_Tree_Lugga_-_Top;744334;9840345
talek;2005;t54185;o;Hi_Step_X;753026;9835655
talek;2005;t54186;o;Hi_Step_X;753232;9835917
talek;2005;t54188;o;Leopard_Crossing;752502;9837051
talek;2005;t54189;o;Saga_L_X;745819;9838371
talek;2005;t54196;o;Talek_Lugga_Crossing;745017;9839926
talek;2005;t54197;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54198;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54201;o;Tw_T_X;753978;9836440
talek;2005;t54202;k;Dave's_Lugga_Crossing;753750;9836504
talek;2005;t54203;o;Talek_Lugga_Crossing;745257;9840021
talek;2005;t54206;o;Border_Tree;745016;9838739
talek;2005;t54209;o;Border_Tree;745465;9838647
talek;2005;t54210;o;Rocky_Pl;752929;9835961
talek;2005;t54211;o;Hi_Step_X;753027;9835625
talek;2005;t54213;o;Fever_Tree_Natal_Den/Communal_Den_Complex;753599;9837484
