"";"landmark_id";"year";"session";"total_cubs"
"365";"Lugga_Den_II";2019;"s109335";12
"366";"Lugga_Den_II";2019;"s109337";12
"367";"Lugga_Den_II";2019;"s109341";12
"368";"Lugga_Den_II";2019;"s109346";12
"369";"Lugga_Den_II";2019;"s109351";12
"370";"Lugga_Den_II";2019;"s109356";12
"371";"Lugga_Den_II";2019;"s109360";12
"372";"Lugga_Den_II";2019;"s109371";12
"373";"Lugga_Den_II";2019;"s109383";12
"374";"Lugga_Den_II";2019;"s109385";12
"375";"Lugga_Den_II";2019;"s109798";12
"376";"Lugga_Den_II";2019;"s109814";12
"377";"Lugga_Den_II";2019;"s109818";12
"378";"Lugga_Den_II";2019;"s109823.1";12
"379";"Lugga_Den_II";2019;"s109847";12
"380";"Lugga_Den_II";2019;"s109880";12
"381";"Lugga_Den_II";2019;"s109889";12
"382";"Lugga_Den_II";2019;"s109942";12
"383";"Moat_Den";2016;"s20806";12
"384";"Mountaineer_Den";2018;"t104034";12
"385";"National_Cornchip_Day_Den";2013;"s10424";12
"386";"National_Cornchip_Day_Den";2013;"s10426";12
"387";"National_Cornchip_Day_Den";2013;"s9975";12
"388";"Nyumba_Ndege_Den";2011;"s6325";12
"389";"Plantation_Den";2003;"t39029";12
"390";"Plantation_Den";2003;"t39258";12
"391";"Plantation_Den";2013;"t81342";12
"392";"Portcullis_Den";2016;"s20198.1";12
"393";"Portcullis_Den";2016;"s20733";12
"394";"Portcullis_Den";2016;"s20790";12
"395";"Portcullis_Den";2016;"s20805";12
"396";"Resurrection_Communal_Den";2011;"t73157";12
"397";"Resurrection_Communal_Den";2011;"t73458";12
"398";"Resurrection_Communal_Den";2013;"t83230";12
"399";"Resurrection_Communal_Den";2013;"t83495";12
"400";"Resurrection_Communal_Den";2013;"t83502";12
"401";"Resurrection_Main_Den";2016;"t93589";12
"402";"Resurrection_Main_Den";2016;"t93634";12
"403";"Resurrection_Main_Den";2016;"t93635";12
"404";"Resurrection_Main_Den";2016;"t93651";12
"405";"Resurrection_Main_Den";2016;"t93755";12
"406";"Resurrection_Main_Den";2016;"t93799";12
"407";"Resurrection_Main_Den";2016;"t94369";12
"408";"Resurrection_Main_Den";2017;"t100185";12
"409";"Resurrection_Main_Den";2017;"t100209";12
"410";"Resurrection_Main_Den";2017;"t98482";12
"411";"Resurrection_Main_Den";2017;"t99637";12
"412";"Riverbend_Den";2011;"t72643";12
"413";"Riverbend_Den";2011;"t72672";12
"414";"Riverbend_Den";2011;"t72724";12
"415";"Riverbend_Den";2011;"t72726";12
"416";"Riverbend_Den";2011;"t72803";12
"417";"Riverbend_Den";2012;"t76113";12
"418";"Riverbend_Den";2012;"t76308";12
"419";"Riverbend_Den";2012;"t76475";12
"420";"Riverbend_Den";2012;"t76714";12
