landmark_id;utme;utmn;date;year 
Tiny Violent Princess Den;716339;9843900; 2016-10-08;2016
Tiny Violet Princess Den;716339;9843900;10/8/2016;2016
Triangle Natal Den;743517;9837645;2006,2005;2005
Triangle Natal Den;743517;9837645;2006,2005;2006
TSA Den;724439;9841751;2/18/2017 2017-02-18;2017
Tumo Hill Den;752769;9838944;2003;2003
Tunai Den;739179;9839546;5/3/2015,42127;2015
Tunnel Den;718614;9833716;2/22/2009 2009-02-24;2009
Tunnel Gate Natal Den;733779;9842657;2003;2003
Turaco Den;729331;9839805;2003;2003
Turret Den;724950;9842127;9/9/2016 2016-09-09;2016
Twin Tree Communal Den;754210;9836549;NA;
Twin Tree/Talek Communal Den;754300;9837155;4/16/00;2000
Twister Den;740208;9840942;2007;2007
Twix Den;726356;9842540;5/16/2011 2011-05-18;2011
Ugli Den;726305;9842484;6/7/2015 2015-06-07;2015
Zeus Den;724943;9841096;6/17/2014 2014-06-17;2014
Arson Den;717309;9844189;9/13/2010 2010-09-15;2010
Ash Den Kutcher;730207;9841226;2013;2013
Avery's Den;742141;9837278;41907;
Crunk Den;718375;9849268;9/21/2014 2014-09-21;2014
Crunk Den 2;718357;9849270;5/10/2018;2018
Crunk Den II;718357;9849270; 2018-05-10;2018
Cub the Place Communal Den;738596;9839296;2012;2012
Cute Factory Den;735261;9842958;2011;2011
Furtive Communal Den;729770;9838834;2001;2001
Furtive Forest Communal Den;752169;9836323;NA;
Game Theory Den;740115;9846140;1/25/2015;2015
Gardenia Den;746979;9836020;41763;
Gatwick Den;723631;9844750;9/28/2008 2008-09-30;2008
GER's Stupid Bushes Natal Den;746763;9836138;NA;
Get the Eff Out Den;742330;9839745;11/3/2016,42677;2016
Gettysburg Den;719322;9840190;7/15/2013 2013-07-15;2013
Gila River Den;716307;9843668;11/4/2009 2009-11-06;2009
Gila River Den II;716426;9843696;12/9/2010 2010-12-11;2010
Gila River Den III;716452;9843748;12/14/2010 2010-12-16;2010
Gnu Den;740680;9837188;39998;
GOL's Sunrise Lugga Natal Den;753210;9834398;2001;2001
Goliath Heron Den;717110;9838860;9/16/2014 2014-09-16;2014
Gomer den;742749;9840733;2007;2007
Gopher Den;742195;9836628;9/1/2016,42614;2016
Mausoleun at Halicarnassus Den;742867;9841535;3/6/2015;2015
Meatloaf Den;715241;9843545;10/7/2015 2015-10-07;2015
Merry Christmas Den;719746;9847140;12/27/2012 2012-12-27;2012
Meteor Den;743037;9839224;11/21/2016,42696;2016
Simba Bridge Communal Den;754646;9836470;2001;2001
Simba Road Den;754086;9835507;2001;2001
Mtafiti Fisi Good Day Den;717251;9842925;5/28/2018 20;2018
Deedle Den;742166;9836259;7/15/2018;2018
Culvert City Den;718169;9842580;06-juil-18;2018
All Hallows' Eve Den;720265;9848034;14-juil-18;2018
Some Freaky Lions Den;719768;9848458;31-juil-18;2018
Wapi Dave Den;714577;9847556;6-Aug-18;2018
Playground Den;717122;9845961;26-sept-18;2018
Nimekufa Kindani Den;742941;9831923;13-oct-18;2018
Best Sighting Tree;743171;9832014;16-oct-18;2018
Tasty Twist's  Natal Den 2018;741318;9833938;27-oct-18;2018
ICCP Den;741352;9834009;28-oct-18;2018
Alfredo's Natal Den 2018;739945;9835531;12-nov-18;2018
Doom's Day Den 2;746900;9838610;22-janv-19;2019
Cliff Den 2;746082;9837966;01-mars-19;2019
Landscape Den;744658;9833984;10-mars-19;2019
Triangle Den 2;743525;9837582;10-mars-19;2019
Ollivander's Den 2;719198;9848864;12-janv-19;2019
Truck Stop D;718315;9846176;27-Feb-19;2019
Villa Den;744705;9834929;30-Apr-19;2019
Kampala D2;745447;9841199;3-May-19;2019
Sunny Den;742034;9836950;7-May-19;2019
Villa Den 2;744689;9835065;25-juin-19;2019
Landscape Den 2;744819;9833984;11-Apr-19;2019
Ken Griffey Jr. Natal Den 2018;740502;9834687;30-nov-18;2018
ICCP Den 2;741264;9834170;28-Dec-18;2018
Oodelali D2;718330;9849213;06-nov-18;2018
Crunk D3;718332;9849272;15-nov-18;2018
Crunk D4;718328;9849289;17-nov-18;2018
Crunk D5;718210;9849295;30-nov-18;2018
Crunk D6;718219;9849318;30-nov-18;2018
Crunk D7;718227;9849357;30-nov-18;2018
Gringotts Den 2;718197;9849416;04-Dec-18;2018
Special Den;743992;9831975;07-janv-19;2019
Kampala Den;745491;9841198;12-janv-19;2019
Villa Three Den;744590;9834965;04-juil-19;2019
Maybe Den;744661;9834239;15-juil-19;2019
Confusing Den;744211;9832288;16-juil-19;2019
Confusing Den 3;744260;9831828;21-juil-19;2019
Acacia Den;749375;9838582;7-Aug-19;2019
Confusing Den 2;744327;9831969;16-juil-19;2019
Medoc Den;741478;9837146;01-sept-19;2019
Greenland Den;743636;9832955;14-sept-19;2019
Runway Den 3;723190;9844517;02-Aug-19;2019
Dawn Den;725153;9840668;23-Aug-19;2019
Dawn Den 2;725266;9840651;01-sept-19;2019
Armani Den;715027;9847714;10-sept-19;2019
Lilac Breasted Roller Den;714856;9847447;28-sept-19;2019
Jalapeno Den;718268;9844620;30-sept-19;2019
Lupito Den;741478;9837146;01-sept-19;2019
Challah Den;717707;9844717;16-oct-19;2019
Sleepy Den;713397;9847252;18-oct-19;2019
Hullabaloo Den 2;716585;9843403;28-oct-19;2019
Dudu Den 2;725661;9841009;28-oct-19;2019
NUDI's Den;744086;9832317;04-oct-19;2019
MARO Natal Den;741559;9834813;12-oct-19;2019
Clearview Den;740944;9837464;21-oct-19;2019
5 Brother's Tree;748961;9834776;14-nov-19;2019
Innocent Den;717831;9844399;21-oct-19;2019
NUDI's Den 2;744117;9832275;24-oct-19;2019
Twix Den 2;726354;9842516;02-janv-20;2020
Runway Den 4;723175;9844446;05-Feb-20;2020
Runway Den;744912;9834809;22-Feb-20;2020
Temple of Artemis Den 2;724393;9845214;07-oct-20;2020
Circe Den;724870;9840956;17-Feb-21;2021
Burning Den;721298;9846439;30-Apr-21;2021
Superstar Den;724855;9840062;03-May-21;2021
Superstar Den 2;724791;9840072;12-May-21;2021
Eyrie Den;718933;9843943;22-juin-21;2021
Eyrie Den 2;718888;9843911;22-juin-21;2021
Tunda Den;746356;9829472;28-juil-21;2021
Uwanja Den;741146;9837638;21-sept-21;2021
Superstar Den 3;724828;9840099;07-Aug-21;2021
Ambush Den;718804;9844364;01-sept-21;2021
Nchoko Den;724749;9839441;28-oct-21;2021
Nchoko Den 2;724689;9839404;27-oct-21;2021
Lone Elephant Den;724765;9839596;04-Dec-21;2021
Skyship Den;718650;9849556;06-Dec-21;2021
Skyship Den 2;718661;9849594;06-Dec-21;2021
Lone Elephant Den2;724875;9839737;16-Dec-21;2021
Lone Elephant Den 3;724854;9839665;21-janv-22;2022
Lugga Den 4;718622;9844671;22-janv-22;2022
Lone Elephant Den 4;724824;9839786;13-mars-22;2022
Buffalo Den;719627;9837833;13-juin-22;2022
Buffalo Den 2;719576;9837833;13-juin-22;2022
Marsh Den;743995;9830199;12-oct-21;2021
Umoja Den;743848;9829512;10-Dec-21;2021
Uwanja Den 2;0741327;9837697;12-oct-21;2021
Hills Den;741111;9836428;07-nov-21;2021
Jambo Den;744071;9831121;29-Dec-21;2021
Open Grassland Den;744254;9840987;27-janv-22;2022
Teenagers Den;740354;9840168;1-Apr-22;2022
Teenagers Den 2;740456;9840079;1-Apr-22;2022
Mechi Den;740464;9839463;22-May-22;2022
Azimio Den;739439;9835885;1-Dec-21;2021
Oppo Den;719296;9849416;13-juil-22;2022
Oppo Den 2;719248;9849349;13-juil-22;2022
Oppo Den 3;719226;9849308;16-juil-22;2022
Migration Den;719721;9937675;18-juil-22;2022
Migration Den 2;719675;9837753;20-juil-22;2022
Saito's Den;725054;9840520;20-Aug-22;2022
Saito's Den 2;724929;9840470;22-Aug-22;2022
Crunk Den 8;718181;9849203;30-sept-22;2022
Mechi Den 2;740210;9839323;12-juil-22;2022
Hot Air Den;739673;9839408;28-juil-22;2022
Low Way Den;740099;9838009;5-Aug-22;2022
Serenity Den;744262;9830983;6-Aug-22;2022
Anke Den;720006;9838022;01-Aug-22;2022
Mars Den;723417;9840596;13-oct-22;2022
Scenic Den;722522;9841425;29-nov-22;2022
Migration Den 3;719817;9837650;07-janv-23;2023
Coincidence Den 2;719576;9837606;26-janv-23;2023
Changra Den;718635;9849330;07-janv-23;2023
Wild Berry Den;718776;9849282;14-janv-23;2023
Changra Den 2;718673;9849323;18-janv-23;2023
Big Sky Den 2;725618;9841109;07-janv-23;2023
Migration Den 4;719680;9837699;24-Feb-23;2023
Migration Den 5;719569;9837708;24-Feb-23;2023
Bird Bath Den;725337;9841541;23-Feb-23;2023
The Burrow Den;719609;9848844;27-mars-23;2023
Buffalo Den 3;719601;9837946;18-may-23;2023
Some Freaky Lions Den 3;719745;9848487;19-may-23;2023
Bumps Den;720228;9848425;26-may-23;2023
Coincidence Den 3;719594;9837659;02-juin-23;2023
Swimming Pool Den;719290;9837476;03-juin-23;2023
Budget Den;726001;9840573;16-juin-23;2023
Budget Den 2;725907;9840517;18-juil-23;2023
Log Cabin's Culvert Den;721069;9847570;25-juil-23;2023
Beanie Baby Den;720236;9847748;16-Aug-23;2023
