landmark_id;utme;utmn;date;year 
Doom's Day Den;747037;9838562;2003;2003
Down Under Den;754400;9837283;2001;2001
Driftwood Island Bushes Communal Den;734179;9842253;2003;2003
Driftwood Island Communal Den;734339;9842255;2001;2001
Drive Thru Communal Den;745697;9837789;NA;
Driving under the Influence Den;716653;9846058;3/24/2011 2011-03-26;2011
Drunk and Disorderly Den;717292;9844132;12/3/2010 2010-12-05;2010
Dry Den;733292;9842456;2003;2003
Dudu Den;725634;9840969;12/18/2009 2009-12-20;2009
Durmstrang Den;719067;9851012;9/12/2010 2010-09-14;2010
Eagle Den;756374,733801,733801;9835966,9842637,9842637;2006;2006
Easter Den;742317;9840920;39530;
Eastside Communal Den;754898;9836490;2001;2001
Elm Street Den;726446;9842434;6/1/2009 2009-06-03;2009
Embezzlement Den;716439;9845940;3/8/2011 2011-03-10;2011
Emerald City Den;724085;9837941;2/18/2009 2009-02-20;2009
Emerald D;711302;9839307;8/15/2008 2008-08-17;2008
k4 avg;749794;9834700;NA;
k5;748761;9836610;NA;
K6 Den;749032;9836434;6/9/2010;2010
k7;750962;9835292;NA;
k8;751519;9835623;NA;
k9;751770;9835088;NA;
Kabbalah Den;718423;9849180;9/21/2016 2016-09-29;2016
Kabbalah Den II;718422;9849226; 2017-08-09;2017
Kabbalah Den ll;718422;9849226;8/9/2017;2017
Kahana Den;727319;9840910;2/28/2012 2012-02-28;2012
Kansas Den;738680;9839398;2011;2011
Kansas Den 2;738849;9839476;12/31/2010;2010
Spider D;732187;9841851;2005;2005
St Paddy's Den;719718;9847204;11/26/2012 2012-11-26;2012
St Petersburg Den;719940;9851218;3/28/2011 2011-03-30;2011
Stockholm Den;719632;9851320;1/19/2011 2011-01-21;2011
Stork Den;731424;9840772;2005;2005
Strasbourg Den;716325;9844272;2/11/2011 2011-02-13;2011
Stupid Communal Den;746758;9836744;NA;
Submarine Den;725144;9840834;3/31/2010;2010
Sugar Daddy Den;742514;9835091;8/8/2015,42224;2015
Summer Den;753495;9837319;2005;2005
Summit Den;726881;9841004;10/6/2014 2014-10-06;2014
Sun Den;741258;9840562;NA;
Sunrise Communal Den;736482;9838012;8/18/2009;2009
Sunrise Plain Communal Den;752986;9837226;NA;
Sunrise Valley Communal Den/Natal Den;753524;9837427;12-2001,37241;2001
Survival of the Fittest Den;737476;9846892;41792;
Suzi Den;726298;9842460;6/27/2008 2008-06-29;2008
Suzi Den 3;726324;9842426;6/18/2017;2017
Suzi Den II;726321;9842497;5/10/2009 2009-05-12;2009
Suzi Den III;726324;9842426; 2017-06-18;2017
Sweetgrass Den;716351;9844270;1/20/2011 2011-01-22;2011
Swift Den;736086;9838110;2009;2009
SX's Tsetse Retreat Natal Den;755031;9836298;NA;
SX's Twin Tree Lugga Natal Den;754029;9836443;NA;
Sycamore Natal Den;730170;9840967;2004;2004
Talek Fig Crater Communal Den;745313;9840164;2001;2001
Enterprise Den;735950;9837992;40469;
Equus Den;737938;9837702;2009;2009
Euphrates Den;719599;9838284;3/14/2015 2015-03-14;2015
Extortion Den;717163;9843805;9/21/2016 2016-09-21;2016
Farmer's Den;739847;9835373;1/4/2017;2017
Fetid Pools Den;734656;9842041;7/19/2009;2009
Fever Tree Natal Den/Communal Den Complex;753681;9837484;11-2001,37217;2001
Fig Tree Den 1;741802;9841078;2007;2007
Fig Tree Den 2;736615;9840574;2007;2007
Fireworks Den;741990;9840708;2007;2007
Flapjack Den;724252;9846273;5/28/2013 2013-05-28;2013
Flashforward Den;727377;9840658;3/30/2012;2012
Flintstone Den;747000;9837149;9/27/2015,42274;2015
FM Den;752888;9838905;2005;2005
FML Den;725171;9841252;10/6/2010 2010-10-08;2010
Foggy Den;724958;9840745;11/5/2009 2009-11-07;2009
Follow Me Den;740289;9839832;2/3/2010;2010
Fork Junction Den;734900;9841952;2003;2003
Foxy Den;745164;9839130;4/27/2010;2010
Frittata Den;723884;9846260; 2011-07-23;2011
Gothenburg Den;719679;9851370;2/24/2011 2011-02-26;2011
Governor's Den;729305;9853420;9-2002;2002
Grand Theft Auto Den;717033;9844406;9/10/2010 2010-09-12;2010
Granuaile Den;721416;9841468; 2016-07-12;2016
Granualie Gen;721416;9841468;7/12/2016;2016
Green Den;729719,477420,747420;9840569,9841240,9841240;2006;2006
Gringotts Den;718155;9849595;9/21/2017 2017-09-21;2017
Grits Den;724180;9846138;6/9/2011 2011-06-11;2011
Grove Den;741295;9840668;2008;2008
Gryffindor Den;719173;9851289;8/16/2010 2010-08-18;2010
Guava Den;725917;9842387;4/25/20145 2015-04-25;2015
Guca Den;720474;9851196;3/9/2012 2012-03-09;2012
Hallelujah Den;723071;9841425;8/20/2010 2010-08-22;2010
Hanging Gardens Den;724783;9841530;1/25/2009 2009-01-27;2009
Happy New Year Den;719821;9847114;1/5/2013 2013-01-05;2013
Naibor Natal Den;732147;9842520;01/03/2009;2009
Nana's 2003 Twiggy Natal Den;731156;9842080;2003;2003
Nancy Drew Den;738699;9839699;2013;2013
National Corn Chip Day Den;720449;9847591;1/29/2013;2013
National Cornchip Day Den;720449;9847591; 2013-01-29;2013
NAV's Twin Tree Natal Den Communal Den;753998;9836480;2001;2001
NAV's Volcano Natal Den;746822;9835880;NA;
Uji Den;723067;9846159;5/3/2014 2014-05-03;2014
Unremarkable Den;722850;9847268;7/5/2010 2010-07-07;2010
Unseen Int Hippo Den;733459;9842996;2003;2003
Unseen Juggler Natal Den;730276;9842101;2001;2001
Uproar Den;716771;9843244,984;8/24/2016 2016-08-24;2016
Vaasa Den;720189;9851280;4/18/2011 2011-04-20;2011
Vacation Den;734652;9842816;2003;2003
Vandalism Den;717253;9844123;10/1/2010 2010-10-03;2010
Vanishing Communal Den;733305;9842549;2001;2001
