session;landmark_id;date;year;month;day;clan;utme;utmn;category
s10752;Grits_Den;2013-06-17;2013;06;17;serenan;724180;9846138;cd
s10753;Grits_Den;2013-06-18;2013;06;18;serenan;724180;9846138;cd
s10764;Grits_Den;2013-06-18;2013;06;18;serenan;724180;9846138;cd
s10765;Flapjack_Den;2013-06-19;2013;06;19;serenan;724252;9846273;cd
s1077;Rocky_Point_Den;2010-06-03;2010;06;03;happyzebra;716191;9842646;cd
s1079;Texarkana_Den;2010-06-04;2010;06;04;happyzebra;716373;9842739;cd
s1080;Rocky_Point_Den;2010-06-04;2010;06;04;happyzebra;716191;9842646;cd
s10803;Flapjack_Den;2013-06-19;2013;06;19;serenan;724252;9846273;cd
s10813;Grits_Den;2013-06-20;2013;06;20;serenan;724180;9846138;cd
s10814;Flapjack_Den;2013-06-21;2013;06;21;serenan;724252;9846273;cd
s10826;Flapjack_Den;2013-06-21;2013;06;21;serenan;724252;9846273;cd
s10832;Grits_Den;2013-06-22;2013;06;22;serenan;724180;9846138;cd
s10835;Grits_Den;2013-06-24;2013;06;24;serenan;724180;9846138;cd
s10858;Flapjack_Den;2013-06-27;2013;06;27;serenan;724252;9846273;cd
s10868.1;DeGaulle_Den;2013-08-01;2013;08;01;serenan;723652;9844975;cd
s10869;Schiphol_Den;2013-08-01;2013;08;01;serenan;723441;9844921;cd
s1087;Texarkana_Den;2010-06-08;2010;06;08;happyzebra;716373;9842739;cd
s10870;DeGaulle_Den;2013-08-01;2013;08;01;serenan;723652;9844975;cd
s10872;Mindy's_Den;2013-08-01;2013;08;01;serenan;721772;9847129;cd
s10877;Mindy's_Den;2013-08-02;2013;08;02;serenan;721772;9847129;cd
s10878;DeGaulle_Den;2013-08-02;2013;08;02;serenan;723652;9844975;cd
s10880;DeGaulle_Den;2013-08-03;2013;08;03;serenan;723652;9844975;cd
s10887;Mindy's_Den;2013-08-04;2013;08;04;serenan;721772;9847129;cd
s1089;Rocky_Point_Den;2010-06-13;2010;06;13;happyzebra;716191;9842646;cd
s10893;Mindy's_Den;2013-08-06;2013;08;06;serenan;721772;9847129;cd
s10897;DeGaulle_Den;2013-08-07;2013;08;07;serenan;723652;9844975;cd
s108994;Ollivander's_Den;2019-04-06;2019;04;06;serenan;719224;9848877;cd
s108995;All_Hallows'_Eve_Den;2019-04-06;2019;04;06;serenan;720265;9848034;cd
s108996;All_Hallows'_Eve_Den;2019-04-07;2019;04;07;serenan;720265;9848034;cd
s108999;Ollivander's_Den;2019-04-11;2019;04;11;serenan;719224;9848877;cd
s109008;All_Hallows'_Eve_Den;2019-04-13;2019;04;13;serenan;720265;9848034;cd
s109013;DeGaulle_Den;2019-04-15;2019;04;15;serenan;723652;9844975;cd
s109014.1;All_Hallows'_Eve_Den;2019-04-15;2019;04;15;serenan;720265;9848034;cd
s109018;All_Hallows'_Eve_Den;2019-04-19;2019;04;19;serenan;720265;9848034;cd
s10902;DeGaulle_Den;2013-08-07;2013;08;07;serenan;723652;9844975;cd
s109029;All_Hallows'_Eve_Den;2019-04-24;2019;04;24;serenan;720265;9848034;cd
s10904;DeGaulle_Den;2013-08-09;2013;08;09;serenan;723652;9844975;cd
s109052;All_Hallows'_Eve_Den;2019-05-03;2019;05;03;serenan;720265;9848034;cd
s109075;DeGaulle_Den;2019-05-08;2019;05;08;serenan;723652;9844975;cd
