landmark_id;utme;utmn;clan
ARBA_Natal_Den;721527;9841357;happyzebra
Cacophony_Den;716718;9843752;happyzebra
Hullabaloo_Den;716721;9843423;happyzebra
Uproar_Den;716771;9843244;happyzebra
Clamor_Den;716904;9843283;happyzebra
Hubbub_Den;716847;9843520;happyzebra
Extortion_Den;717163;9843805;happyzebra
Judith_Den2;718910;9849244;serenan
Tiny_Violet_Princess_Den;716339;9843900;happyzebra
Calexico_Den;716384;9842738;happyzebra
Bran_Den;724394;9842200;serenas
TSA_Den;724439;9841751;serenas
Angry_Ele_Den;718523;9844405;happyzebra
Ambush_Gardenia;718904;9844347;happyzebra
Defenestrate_Den2;725495;9841916;serenas
Ugli_Den;726305;9842484;serenas
Suzi_Den_3;726324;9842426;serenas
Angry_Ele_Den_2;718503;9844377;happyzebra
Lugga_Den2;718624;9844590;happyzebra
Lugga_Den_lll;718592;9844639;happyzebra
Suzi_Den;726298;9842460;serenas
Mango_Den_ll;726233;9842257;serenas
Bberry_Den;725937;9841648;serenas
Precipice_Den_ll;726027;9841858;serenas
Precipice_Den;726069;9841910;serenas
Rang_Natal_Den;726091;9842140;serenas
Seatac_Den;723326;9844804;serenan
Bright_Eyes_Den_ll;718276;9848942;serenan
Bright_Eyes_Den;718430;9848948;serenan
Diagon_Alley_ll;717981;9849311;serenan
Diagon_Alley_Den;717949;9849283;serenan
Gringotts_Den;718155;9849595;serenan
Whomping_Willow_Den;718529;9849152;serenan
Soda_Fountain_Den;718914;9851295;serenan
Precipice_Den_III;726025;9841891;serenas
Precipice_Den_II;726027;9841858;serenas
Hipposhi_Tree;720252;9850728;serenan
Crunk_Den_2;718357;9849270;serenan
Comatose_Culvert;718092;9841661;happyzebra
Mtafiti_Fisi_Good_Day_Den;717251;9842925;happyzebra
Some_Freaky_Lions_Den;719768;9848458;serenan
WAFL_Natal_Den;719230;9849296;serenan
Culvert_City_Den;718169;9842580;happyzebra
Dying_Cub_Culvert;718528;9842766;happyzebra
Silk_Natal_Den;717186;9846659;happyzebra
Oodelali_D2;718330;9849213;serenan
Crunk_Den_II;718357;9849270;serenan
Crunk_D5;718210;9849295;serenan
Crunk_D7;718227;9849357;serenan
Crunk_D6;718219;9849318;serenan
TEDY_Natal_Den;718187;9849410;serenan
Gringotts_Den_2;718197;9849416;serenan
Solid_Bottom_Crossing;717259;9846612;happyzebra
Ollivander's_Den_2;719198;9848864;serenan
Log_Cabin's_Culvert;721069;9840826;serenan
CERN_Den;719534;9838825;happyzebra
Truck_Stop_D;718315;9846176;happyzebra
Unremarkable_Den;722850;9847268;serenan
Mag_Den;719366;9850839;serenan
Gryffindor_Den;719173;9851289;serenan
Slytherin_Den;719259;9850909;serenan
Ravenclaw_Den;719000;9851018;serenan
Hufflepuff_Den;718886;9851135;serenan
Thug_Mansion_Den;718946;9851053;serenan
Durmstrang_Den;719067;9851012;serenan
Beauxbatons_Den;718987;9850937;serenan
Hogshead_Den;717723;9849485;serenan
Privet_Drive_Den;717846;9849364;serenan
Chamber_of_Secrets_Den;717726;9849379;serenan
3_Broomsticks_Den;717702;9849474;serenan
South_Den;724375;9842053;serenas
Railroad_Den;724422;9841651;serenas
Phil's_Tree;724090;9842018;serenas
Muddy_Waters;723516;9841763;serenas
9km_Marker;718048;9842058;happyzebra
Suzi_Den_II;726321;9842497;serenas
Ice_Age_Den;727052;9842117;serenas
Elm_Street_Den;726446;9842434;serenas
Orchid_Den;725445;9840897;serenas
Hydra_Den;725559;9840851;serenas
Pearl_Den;725783;9840988;serenas
Western_Front;723896;9840291;serenas
Submarine_Den;725144;9840834;serenas
Dharma_Den;725495;9840858;serenas
Hurley_Den;725185;9840831;serenas
Locke_Den;725145;9840826;serenas
Hallelujah_Den;723071;9841425;serenas
Egyptian_Goose;718296;9839943;happyzebra
Rivendell_Den;723719;9841457;serenas
Lighthouse_Den;727206;9840510;serenas
Reese's_Den;726279;9842474;serenas
Milky_Way_Den_Deleted;726313;9842410;serenas
Heath_Den;726486;9842170;serenas
Rock_Lobster;726082;9842504;serenas
Kuni_Beach;728652;9842728;serenas
Mr._Cluck's_Chicken_Shack_Den;726936;9840626;serenas
Tailies_Den;726801;9840354;serenas
Helsinki_Den;719644;9851282;serenan
Oslo_Den;719597;9851224;serenan
Stockholm_Den;719632;9851320;serenan
Tallinn_Den;719639;9851358;serenan
Copenhagen_Den;719620;9851394;serenan
Reykjavik_Den;719658;9851418;serenan
Gothenburg_Den;719679;9851370;serenan
Aarhus_Den;719884;9851382;serenan
Serena_Camp;724390;9845214;serenan
Moscow_Den;719942;9851358;serenan
Mega_Junction;720751;9851603;serenan
St_Petersburg_Den;719940;9851218;serenan
Nyumba_Ndege_Den;724224;9846508;serenan
Scrapple_Den;724111;9846482;serenan
Crepes_Den;724243;9846030;serenan
Frittata_Den;723884;9846260;serenan
Pancake_Den;723933;9845900;serenan
Chex_Den;723983;9846130;serenan
Bergen_Den;720253;9851464;serenan
Vaasa_Den;720189;9851280;serenan
Kolding_Den;720256;9851264;serenan
Little_Big_Horn_D;719101;9840221;happyzebra
Salander_Den;720032;9850724;serenan
Riga_Den;720119;9850866;serenan
Rio_Grande_Den;716415;9843882;happyzebra
Sweetgrass_Den;716351;9844270;happyzebra
Sault_St._Marie_Den;716352;9844324;happyzebra
Cocobeach_Den;716199;9844306;happyzebra
Strasbourg_Den;716325;9844272;happyzebra
Hit_and_Run_Den;716588;9845972;happyzebra
Embezzlement_Den;716439;9845940;happyzebra
Driving_under_the_Influence_Den;716653;9846058;happyzebra
Alamo_Den;719098;9840106;happyzebra
Burnt_Crossing;715967;9841842;happyzebra
Juarez_Den;716375;9842579;happyzebra
Krakow_Den;719919;9851134;serenan
Malmö_Den;720175;9851218;serenan
Guca_Den;720474;9851196;serenan
Belgrade_Den;719841;9851154;serenan
Budapest_Den;719781;9851170;serenan
New_Queen's_Throne_Natal_Den;719751;9851136;serenan
Emma_Natal_Den_2_2012;719731;9847250;serenan
Emma_Natal_Den_2012;719768;9847218;serenan
Merry_Christmas_Den;719746;9847140;serenan
Kahana_Den;727319;9840910;serenas
Nightmare_Den;727399;9840910;serenas
Flashforward_Den;727377;9840658;serenas
Java_House_Den;727353;9840692;serenas
Oxytocin_Den;724934;9841116;serenas
Mexicalli_Den;716255;9842748;happyzebra
Happy_New_Year_Den;719821;9847114;serenan
Pile-o-rocks_Crossing;721209;9848004;serenan
Rhombush;720508;9848034;serenan
Big_Bush_Communal_Den;748061;9838502;talek
Big_Bush_Den;748061;9838502;talek
Resurrection_Main_Den;747453;9838546;talek
Lala_Den;744591;9841032;talek
Green_Den;729719;9840569;talek
Dicks_Den;747390;9837245;talek
Fireworks_Den;741990;9840708;talek
Den_One_Creek_Den_Complex;747634;9837096;talek
Fig_Tree_Lugga_-_Top;743852;9840260;talek
Flintstone_Den;747000;9837149;talek
Tawny_Tree;743097;9840863;talek
Daffy_Duck_Shrub;747248;9837085;talek
Lone_Ranger_Natal_Den;747004;9836618;talek
Man_Bush;745939;9837669;talek
Leopard_Sex_Crossing;747704;9837000;talek
Farmer's_Den;739847;9835373;talek
Resurrection_Communal_Den;747569;9838508;talek
Central_Park_Communal_Den;746472;9838970;talek
Mountaineer_Den;747043;9838583;talek
Cliff_Den;746018;9837982;talek
Magic_Bush_Den;746745;9838653;talek
Nimekufa_Kindani_Den;742941;9831923;talek
Special_Den;743992;9831975;talek
Doom's_Day_Den_2;746900;9838610;talek
Cliff_Den_2;746082;9837966;talek
Landscape_Den;744658;9833984;talek
Landscape_Den_2;744819;9833984;talek
Villa_Den;744705;9834929;talek
Sayialel_Crossing;746881;9838682;talek
Cool_Beans_Bush;744761;9835143;talek
Villa_Den_2;744689;9835065;talek
Confusing_Den;744211;9832288;talek
Confusing_Den_2;744327;9831969;talek
Confusing_Den_3;744260;9831828;talek
Greenland_Den;743636;9832955;talek
NUDI's_Den;744086;9832317;talek
Dave_Den;747491;9837478;talek
Dave's_Den;747491;9837478;talek
Croton_Edge_Communal_Den;746952;9837148;talek
NUDI's_Den_2;744117;9832275;talek
Acacia_Den;749375;9838582;talek
Aardwolf_Communal_Den;745294;9838050;talek
Plantation_Den;746293;9839498;talek
Olosogon_West_Bank_Natal_Den;754909;9835790;talek
Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484;talek
Twin_Tree_Crossing;754110;9836521;talek
Sunrise_Valley_Communal_Den/Natal_Den;753524;9837427;talek
Maji_Fisi;745018;9838398;talek
Dream_Camp;746192;9838993;talek
Base_Natal_Den/Communal_Den;746442;9838893;talek
Doom's_Day_Den;747037;9838562;talek
Paradise_Den;746378;9836793;talek
Aardvark_Road_Trees;746563;9836736;talek
Magic_Culvert;747371;9836013;talek
Ranger_Den;745281;9840331;talek
No_See_Em_Den;744984;9840806;talek
Alternate_Aardvark_Communal_Den;746470;9837032;talek
Holiday_Communal_Den;746505;9836828;talek
Tumo_Hill_Den;752769;9838944;talek
FM_Den;752888;9838905;talek
Over_the_River_Den;753542;9837353;talek
Talek_Lugga_Crossing;745099;9840066;talek
Boulevard_Den;744985;9839134;talek
Kinda-See-Em_Den;745124;9840497;talek
Den_of_Perfection;746689;9836798;talek
Roadside_Den;746619;9836966;talek
Banana_Tree_Communal_Den;740512;9859417;talek
Fig_Tree_Den_2;736615;9840574;talek
Sun_Den;741258;9840562;talek
Wicked_Den;740636;9839896;talek
Crocodile_Camp_Den;746008;9840226;talek
Talek_Gate;745602;9840397;talek
Waverly_Den;744929;9839296;talek
Wayland_Den;745254;9839856;talek
Alamo_Natal_Den;747851;9836348;talek
Kitchen_Natal_Den;746684;9836802;talek
T_Stop;745229;9837857;talek
Kinda_See_Em_Den_Two;745085;9840608;talek
Crocodile_Den;746043;9840060;talek
Culvert_of_13_Lugga_South;747880;9835456;talek
Main_Den_One_Creek_Crossing;747797;9836633;talek
Riverbend_Den;748477;9838427;talek
Teapot_Tree_Crossing;747432;9837579;talek
Centre_Tree;747366;9838133;talek
Lightning_Den;747326;9838572;talek
Dion's_Natal_Den;747075;9837512;talek
Landmark_Tree;748924;9838183;talek
Rhino_Skull_Lugga_Crossing;746673;9837962;talek
Stupid_Tree;746997;9836480;talek
Teapot_Tree;747579;9837618;talek
Pothole_Den;747622;9837700;talek
Vulture_Crossing;747750;9837284;talek
Century_Crossing;747636;9837248;talek
Saga_Lugga,_Bottom;746397;9838510;talek
Box_Crossing;748090;9837837;talek
Mystery_Spot;746175;9839389;talek
Kilong_Crossing;745194;9840304;talek
Aqua's_Natal_Den_2014;743212;9836350;talek
Gardenia_Den;746979;9836020;talek
Secluded_Den;747062;9837168;talek
