landmark_id,clan,Longitude,Latitude,
Moscow_Den,serenan,34.97670905,-1.344002973,
Mega_Junction,serenan,34.98397516,-1.341781799,
St_Petersburg_Den,serenan,34.9766921,-1.345268846,
Nyumba_Ndege_Den,serenan,35.01521385,-1.387823226,
Scrapple_Den,serenan,35.01419889,-1.388059179,
Crepes_Den,serenan,35.01538821,-1.392144977,
Frittata_Den,serenan,35.01216127,-1.390068172,
Pancake_Den,serenan,35.01260423,-1.393322785,
Chex_Den,serenan,35.01305166,-1.391242822,
Bergen_Den,serenan,34.97950224,-1.343042261,
Vaasa_Den,serenan,34.97892862,-1.344706427,
Kolding_Den,serenan,34.97953065,-1.344850605,
Little_Big_Horn_D,happyzebra,34.96923735,-1.444708546,
Salander_Den,serenan,34.97752221,-1.34973484,
Riga_Den,serenan,34.97830277,-1.34845026,
Rio_Grande_Den,happyzebra,34.94507766,-1.411626675,
Sweetgrass_Den,happyzebra,34.94449976,-1.408118858,
Sault_St._Marie_Den,happyzebra,34.94450834,-1.407630581,
Cocobeach_Den,happyzebra,34.94313389,-1.407794491,
Strasbourg_Den,happyzebra,34.94426616,-1.40810097,
Hit_and_Run_Den,happyzebra,34.94661632,-1.392727579,
Embezzlement_Den,happyzebra,34.94527792,-1.393018036,
Driving_under_the_Influence_Den,happyzebra,34.94719965,-1.391949482,
Alamo_Den,happyzebra,34.9692113,-1.445748385,
Burnt_Crossing,happyzebra,34.94106812,-1.430075805,
Juarez_Den,happyzebra,34.94472813,-1.423408719,
Krakow_Den,serenan,34.97650405,-1.346028515,
Malmö_Den,serenan,34.9788033,-1.345267123,
Guca_Den,serenan,34.98148962,-1.345463849,
Belgrade_Den,serenan,34.97580317,-1.345848249,
Budapest_Den,serenan,34.97526402,-1.345704019,
New_Queen's_Throne_Natal_Den,serenan,34.97499475,-1.346011662,
Emma_Natal_Den_2_2012,serenan,34.97484372,-1.381148447,
Emma_Natal_Den_2012,serenan,34.97517637,-1.381437508,
Merry_Christmas_Den,serenan,34.9749793,-1.382142938,
Kahana_Den,serenas,35.04306262,-1.438413355,
Nightmare_Den,serenas,35.04378133,-1.438412707,
Flashforward_Den,serenas,35.04358571,-1.440691334,
Java_House_Den,serenas,35.04336983,-1.440384119,
Oxytocin_Den,serenas,35.02163446,-1.436569997,
Mexicalli_Den,happyzebra,34.94364873,-1.421881533,
Happy_New_Year_Den,serenan,34.9756533,-1.382377462,
Pile-o-rocks_Crossing,serenan,34.98811632,-1.374319802,
Rhombush,serenan,34.98181839,-1.374053817,
Big_Bush_Communal_Den,talek,35.22941485,-1.460006962,
Big_Bush_Den,talek,35.22941485,-1.460006962,
Resurrection_Main_Den,talek,35.22395291,-1.459614631,
Lala_Den,talek,35.19822216,-1.437165263,
Green_Den,talek,35.06462639,-1.441476919,
Dicks_Den,talek,35.2233986,-1.471376751,
Fireworks_Den,talek,35.17486024,-1.440116966,
Den_One_Creek_Den_Complex,talek,35.22559175,-1.472721568,
Fig_Tree_Lugga_-_Top,talek,35.19159046,-1.444151024,
Flintstone_Den,talek,35.21989613,-1.472248143,
Tawny_Tree,talek,35.18480311,-1.438706094,
Daffy_Duck_Shrub,talek,35.22212446,-1.472824495,
Lone_Ranger_Natal_Den,talek,35.21993682,-1.477048569,
Man_Bush,talek,35.21036061,-1.467556628,
Leopard_Sex_Crossing,talek,35.22622142,-1.473588812,
Farmer's_Den,talek,35.15565554,-1.488368092,
Resurrection_Communal_Den,talek,35.22499526,-1.459957128,
Central_Park_Communal_Den,talek,35.21513698,-1.455790236,
Mountaineer_Den,talek,35.22026962,-1.459283799,
Cliff_Den,talek,35.21106749,-1.464726254,
Magic_Bush_Den,talek,35.21759211,-1.458653627,
Nimekufa_Kindani_Den,talek,35.1834808,-1.519530769,
Special_Den,talek,35.19292176,-1.519051031,
Doom's_Day_Den_2,talek,35.21898483,-1.459040983,
Cliff_Den_2,talek,35.21164254,-1.46487033,
Landscape_Den,talek,35.19888634,-1.500882458,
Landscape_Den_2,talek,35.20033263,-1.500880994,
Villa_Den,talek,35.19930003,-1.492338718,
Sayialel_Crossing,talek,35.21881352,-1.458390242,
Cool_Beans_Bush,talek,35.19980116,-1.490403536,
Villa_Den_2,talek,35.19915508,-1.491109349,
Confusing_Den,talek,35.19488624,-1.516219323,
Confusing_Den_2,talek,35.19593121,-1.519102198,
Confusing_Den_3,talek,35.19533062,-1.520377534,
Greenland_Den,talek,35.18971482,-1.510194509,
NUDI's_Den,talek,35.19376307,-1.515958292,
Dave_Den,talek,35.22430378,-1.469269429,
Dave's_Den,talek,35.22430378,-1.469269429,
Croton_Edge_Communal_Den,talek,35.21946496,-1.472257616,
NUDI's_Den_2,talek,35.19404193,-1.516337712,
Acacia_Den,talek,35.24121748,-1.459271925,
Aardwolf_Communal_Den,talek,35.20456323,-1.464117949,
Plantation_Den,talek,35.2135244,-1.451018463,
Olosogon_West_Bank_Natal_Den,talek,35.29095277,-1.484461118,
Fever_Tree_Natal_Den/Communal_Den_Complex,talek,35.27990659,-1.469158762,
Twin_Tree_Crossing,talek,35.28376896,-1.477860338,
Sunrise_Valley_Communal_Den/Natal_Den,talek,35.27849686,-1.469675493,
Maji_Fisi,talek,35.20208086,-1.460974298,
Dream_Camp,talek,35.21262157,-1.455584791,
Base_Natal_Den/Communal_Den,talek,35.21486818,-1.456486617,
Doom's_Day_Den,talek,35.22021591,-1.459473701,
Paradise_Den,talek,35.21431193,-1.475472138,
Aardvark_Road_Trees,talek,35.21597429,-1.475985777,
Magic_Culvert,talek,35.223239,-1.482514691,
Ranger_Den,talek,35.20442644,-1.443496651,
No_See_Em_Den,talek,35.2017544,-1.439205,
Alternate_Aardvark_Communal_Den,talek,35.21513623,-1.473310642,
Holiday_Communal_Den,talek,35.21545245,-1.475154579,
Tumo_Hill_Den,talek,35.27170123,-1.455968622,
FM_Den,talek,35.27277051,-1.456320101,
Over_the_River_Den,talek,35.27865922,-1.470344291,
Talek_Lugga_Crossing,talek,35.20279387,-1.445893985,
Boulevard_Den,talek,35.20177796,-1.45432076,
Kinda-See-Em_Den,talek,35.20301468,-1.4419973,
Den_of_Perfection,talek,35.21710558,-1.475424134,
Roadside_Den,talek,35.21647527,-1.473905971,
Banana_Tree_Communal_Den,talek,35.16143318,-1.270985688,
Fig_Tree_Den_2,talek,35.12657671,-1.441374324,
Sun_Den,talek,35.16828588,-1.44144322,
Wicked_Den,talek,35.16270408,-1.447469721,
Crocodile_Camp_Den,talek,35.2109579,-1.444439518,
Talek_Gate,talek,35.20730937,-1.442897162,
Waverly_Den,talek,35.2012735,-1.452856687,
Wayland_Den,talek,35.20418805,-1.447791133,
Alamo_Natal_Den,talek,35.22754777,-1.479481805,
Kitchen_Natal_Den,talek,35.21706063,-1.475388018,
T_Stop,talek,35.20398105,-1.465863347,
Kinda_See_Em_Den_Two,talek,35.20266339,-1.440994142,
Crocodile_Den,talek,35.21127375,-1.445939928,
Culvert_of_13_Lugga_South,talek,35.22781634,-1.48754555,
Main_Den_One_Creek_Crossing,talek,35.22706012,-1.476905788,
Riverbend_Den,talek,35.23315236,-1.460681254,
Teapot_Tree_Crossing,talek,35.22377289,-1.46835688,
Centre_Tree,talek,35.22317508,-1.463349093,
Lightning_Den,talek,35.22281186,-1.459380716,
Dion's_Natal_Den,talek,35.2205666,-1.468965797,
Landmark_Tree,talek,35.23716984,-1.46288307,
Rhino_Skull_Lugga_Crossing,talek,35.21695147,-1.46490121,
Stupid_Tree,talek,35.21987518,-1.47829621,
Teapot_Tree,talek,35.22509302,-1.468002983,
Pothole_Den,talek,35.22547855,-1.467261284,
Vulture_Crossing,talek,35.22663208,-1.471020929,
Century_Crossing,talek,35.22560836,-1.471347411,
"Saga_Lugga,_Bottom",talek,35.21446733,-1.45994951,
Box_Crossing,talek,35.22968129,-1.466018541,
Mystery_Spot,talek,35.21246538,-1.452004918,
Kilong_Crossing,talek,35.20364517,-1.443741507,
Aqua's_Natal_Den_2014,talek,35.18587555,-1.479505449,
Gardenia_Den,talek,35.21971762,-1.482454965,
Secluded_Den,talek,35.2204529,-1.472075817,
Yoplait_Den,talek,35.17247425,-1.48116411,
Roosevelt's_Natal_Den_2014,talek,35.17446222,-1.483901481,
DOC_Communal_Den,talek,35.22559175,-1.472721568,
Milkyway_Den,talek,35.18261165,-1.485593044,
Argon's_Natal_Den_2014,talek,35.184163,-1.482797942,
Maggie_Den,talek,35.18388713,-1.485456166,
Cash_Den,talek,35.22421785,-1.47320209,
Pole_not_Pole_Den,talek,35.18909893,-1.468707755,
Singizi_Den,talek,35.22066426,-1.48588937,
Handsome_H_Tree,talek,35.18904572,-1.469412976,
Lucky_Leopard_Den,talek,35.17890855,-1.474323,
Nook,talek,35.22080923,-1.487136801,
Pond_Lugga_Crossing,talek,35.18460284,-1.48245396,
Kinda_See_Em_Den_Three,talek,35.2029243,-1.441418793,
Lazy_French_Den,talek,35.17092989,-1.491128512,
Tangawizi_Den,talek,35.1662728,-1.478060202,
Latrine,talek,35.19718265,-1.485931088,
Three_Sisters,talek,35.17042493,-1.479990837,
Photogenic_Tree,talek,35.18182214,-1.477448195,
Nomadic_Den,talek,35.1738925,-1.48922702,
Sugar_Daddy_Den,talek,35.17961647,-1.490893854,
Candybar_Crossing,talek,35.17897061,-1.491843768,
Love_Stinks_Den,talek,35.16857147,-1.476991137,
Saga_Lugga,talek,35.2117568,-1.462302721,
No_Name_Hill_Tree,talek,35.22927156,-1.469526615,
"Stupid_Bushes,_Northwest_Edge",talek,35.21478503,-1.472434069,
Cheetah_Tree_Crossing,talek,35.23395007,-1.467976011,
