landmark_id,utme,utmn,clan,X,Y
Temple_of_Artemis_Den,724900,9841254,serenas,35.02132791,-1.43532253
Zeus_Den,724943,9841096,serenas,35.02171547,-1.436750757
Polar_Bear_Den,725352,9840838,serenas,35.02539195,-1.439080205
Jackson's_Hole_Den,725657,9841081,serenas,35.0281301,-1.436880657
Summit_Den,726881,9841004,serenas,35.03912696,-1.437566998
Airfield,723651,9844648,serenas,35.01008044,-1.404645115
Island_Den,725384,9840990,serenas,35.02567822,-1.43770563
Lost_Den,725277,9841016,serenas,35.02471674,-1.437471408
Pyramid_of_Giza,724698,9841306,serenas,35.01951274,-1.434853981
Sawyer_Den,725256,9840952,serenas,35.02452858,-1.438050237
Colossus_of_Rhodes_Den,725114,9841436,serenas,35.02324902,-1.433675252
Defenestrate_Den,725405,9841812,serenas,35.02586035,-1.430273296
Cripple_Tree,727202,9842261,serenas,35.0420007,-1.426199272
Pride_Rock,718416,9839082,happyzebra,34.96309201,-1.455012642
Reach_Out_and_Touch_Mound,718766,9849195,serenan,34.9661598,-1.363569189
Baobab_Tree,718077,9837971,happyzebra,34.96005503,-1.465060887
Whoopi_Tree,713256,9842517,happyzebra,34.91670636,-1.42399295
Summit_Den,726881,9841004,happyzebra,35.03912696,-1.437566998
Murram_Pit_Three,718800,9836563,happyzebra,34.96656187,-1.477786138
Fisi_Mingi_Luga,719201,9836421,happyzebra,34.97016574,-1.47906687
BobLobLog,718774,9837487,happyzebra,34.96632095,-1.469431639
Sausage_Tree,721907,9836461,happyzebra,34.99447695,-1.478683342
Euphrates_Den,719599,9838284,happyzebra,34.97372671,-1.462218705
Oodelali_Den,718352,9849222,serenan,34.96244025,-1.363328113
Sneaky_Rock,725623,9841853,serenas,35.0278185,-1.429900852
Moat_Den,724573,9842044,serenas,35.01838391,-1.428182273
Portcullis_Den,724448,9842095,serenas,35.01726052,-1.427722144
Monolith,726441,9842206,serenas,35.03516448,-1.426702651
Moonset_Den,720892,9838075,happyzebra,34.98534501,-1.464098127
Albatross_Den,718494,9849303,serenan,34.96371538,-1.362594671
Mango_Den,726226,9842324,serenas,35.03323202,-1.425637471
Kit_Kat_Den,726433,9842488,serenas,35.03509037,-1.424153009
Twix_Den,726356,9842540,serenas,35.0343982,-1.423683465
Meatloaf_Den,715241,9843545,happyzebra,34.93453265,-1.414682709
DeGaulle_Den_II,723670,9844868,serenan,35.01024943,-1.402655803
Blowin'_in_the_Wind_Tree,721116,9845013,happyzebra,34.9873034,-1.401364473
Rocky_Spot,731691,9832225,happyzebra,35.0824125,-1.516900773
Houdini_Den,716763,9843937,happyzebra,34.94820376,-1.41112673
Black_Bellied_Bustard_Bird_Junction,717929,9843588,happyzebra,34.95868198,-1.414273511
Sneaky_Hole,717935,9849965,serenan,34.95868851,-1.356613021
Ilvermorny_Den,719409,9848777,serenan,34.97193955,-1.367343934
Portkey_Junction,719362,9848345,serenan,34.9715205,-1.371250371
Kabbalah_Den,718423,9849180,serenan,34.96307842,-1.36370735
Bastion_Den,724676,9842170,serenas,35.01930826,-1.427042213
Turret_Den,724950,9842127,serenas,35.02177019,-1.427428825
Granualie_Gen,721416,9841468,happyzebra,34.99002596,-1.433415226
ARBA_Natal_Den,721527,9841357,happyzebra,34.99102406,-1.434417989
Cacophony_Den,716718,9843752,happyzebra,34.94780087,-1.412799841
Hullabaloo_Den,716721,9843423,happyzebra,34.9478303,-1.415774634
Uproar_Den,716771,9843244,happyzebra,34.94828086,-1.417392771
Clamor_Den,716904,9843283,happyzebra,34.94947547,-1.417039121
Hubbub_Den,716847,9843520,happyzebra,34.94896158,-1.414896604
Extortion_Den,717163,9843805,happyzebra,34.95179845,-1.412317239
Judith_Den2,718910,9849244,serenan,34.96745313,-1.363125072
Tiny_Violet_Princess_Den,716339,9843900,happyzebra,34.94439473,-1.411464493
Calexico_Den,716384,9842738,happyzebra,34.94480778,-1.421970971
Bran_Den,724394,9842200,serenas,35.01677457,-1.426773202
TSA_Den,724439,9841751,serenas,35.01718238,-1.43083253
Angry_Ele_Den,718523,9844405,happyzebra,34.96401238,-1.406881733
Ambush_Gardenia,718904,9844347,happyzebra,34.96743577,-1.407403259
Defenestrate_Den2,725495,9841916,serenas,35.02666807,-1.429332255
Ugli_Den,726305,9842484,serenas,35.03394047,-1.424190197
Suzi_Den_3,726324,9842426,serenas,35.03411162,-1.424714453
Angry_Ele_Den_2,718503,9844377,happyzebra,34.96383291,-1.407135058
Lugga_Den2,718624,9844590,happyzebra,34.96491838,-1.405208211
Lugga_Den_lll,718592,9844639,happyzebra,34.96463051,-1.404765401
Suzi_Den,726298,9842460,serenas,35.03387778,-1.424407249
Mango_Den_ll,726233,9842257,serenas,35.03329544,-1.426243197
Bberry_Den,725937,9841648,serenas,35.03064106,-1.431751856
Precipice_Den_ll,726027,9841858,serenas,35.03144794,-1.429852414
Precipice_Den,726069,9841910,serenas,35.03182485,-1.429381918
Rang_Natal_Den,726091,9842140,serenas,35.03202066,-1.42730219
Seatac_Den,723326,9844804,serenan,35.00715947,-1.40323714
Bright_Eyes_Den_ll,718276,9848942,serenan,34.96175952,-1.365860411
Bright_Eyes_Den,718430,9848948,serenan,34.96314301,-1.365805023
Diagon_Alley_ll,717981,9849311,serenan,34.95910654,-1.362526112
Diagon_Alley_Den,717949,9849283,serenan,34.95881926,-1.362779522
Gringotts_Den,718155,9849595,serenan,34.96066768,-1.359956924
Whomping_Willow_Den,718529,9849152,serenan,34.96403092,-1.363959741
Soda_Fountain_Den,718914,9851295,serenan,34.96747411,-1.344580119
Precipice_Den_III,726025,9841891,serenas,35.03142971,-1.429554059
Precipice_Den_II,726027,9841858,serenas,35.03144794,-1.429852414
Hipposhi_Tree,720252,9850728,serenan,34.97949863,-1.349697054
Crunk_Den_2,718357,9849270,serenan,34.96248482,-1.362894064
Comatose_Culvert,718092,9841661,happyzebra,34.96016111,-1.431696062
Mtafiti_Fisi_Good_Day_Den,717251,9842925,happyzebra,34.95259572,-1.420273503
Some_Freaky_Lions_Den,719768,9848458,serenan,34.97516714,-1.370225615
WAFL_Natal_Den,719230,9849296,serenan,34.97032761,-1.362652529
Culvert_City_Den,718169,9842580,happyzebra,34.96084586,-1.423385938
Dying_Cub_Culvert,718528,9842766,happyzebra,34.96406976,-1.421701381
Silk_Natal_Den,717186,9846659,happyzebra,34.95198374,-1.38651127
Oodelali_D2,718330,9849213,serenan,34.96224267,-1.363409652
Crunk_Den_II,718357,9849270,serenan,34.96248482,-1.362894064
Crunk_D5,718210,9849295,serenan,34.96116399,-1.362669098
Crunk_D7,718227,9849357,serenan,34.96131626,-1.362108374
Crunk_D6,718219,9849318,serenan,34.96124468,-1.362461068
TEDY_Natal_Den,718187,9849410,serenan,34.96095652,-1.361629446
Gringotts_Den_2,718197,9849416,serenan,34.96104631,-1.361575121
Solid_Bottom_Crossing,717259,9846612,happyzebra,34.95263993,-1.386935698
Ollivander's_Den_2,719198,9848864,serenan,34.9700433,-1.366558857
Log_Cabin's_Culvert,721069,9840826,serenan,34.9869135,-1.439222774
CERN_Den,719534,9838825,happyzebra,34.97313847,-1.457327578
Truck_Stop_D,718315,9846176,happyzebra,34.96213037,-1.390870076
Unremarkable_Den,722850,9847268,serenan,35.00286434,-1.380962092
Mag_Den,719366,9850839,serenan,34.97153813,-1.348699915
Gryffindor_Den,719173,9851289,serenan,34.96980098,-1.344632482
Slytherin_Den,719259,9850909,serenan,34.97057635,-1.348067767
Ravenclaw_Den,719000,9851018,serenan,34.96824873,-1.347084096
Hufflepuff_Den,718886,9851135,serenan,34.96722372,-1.346027027
Thug_Mansion_Den,718946,9851053,serenan,34.96776335,-1.346768024
Durmstrang_Den,719067,9851012,serenan,34.9688507,-1.347137858
Beauxbatons_Den,718987,9850937,serenan,34.96813253,-1.347816584
Hogshead_Den,717723,9849485,serenan,34.9567874,-1.360954709
Privet_Drive_Den,717846,9849364,serenan,34.95789332,-1.362047882
Chamber_of_Secrets_Den,717726,9849379,serenan,34.95681513,-1.361913134
3_Broomsticks_Den,717702,9849474,serenan,34.95659882,-1.361054325
South_Den,724375,9842053,serenas,35.01660503,-1.428102471
Railroad_Den,724422,9841651,serenas,35.01703045,-1.431736826
Phil's_Tree,724090,9842018,serenas,35.01404489,-1.428421188
Muddy_Waters,723516,9841763,serenas,35.00889011,-1.430731354
9km_Marker,718048,9842058,happyzebra,34.95976276,-1.428106756
Suzi_Den_II,726321,9842497,serenas,35.03408411,-1.424072529
Ice_Age_Den,727052,9842117,serenas,35.04065428,-1.427502449
Elm_Street_Den,726446,9842434,serenas,35.03520758,-1.424641147
Orchid_Den,725445,9840897,serenas,35.02622698,-1.438546006
Hydra_Den,725559,9840851,serenas,35.02725151,-1.438961002
Pearl_Den,725783,9840988,serenas,35.02926281,-1.437720509
Western_Front,723896,9840291,serenas,35.01231567,-1.444037636
Submarine_Den,725144,9840834,serenas,35.02352333,-1.439118041
Dharma_Den,725495,9840858,serenas,35.02667649,-1.438898225
Hurley_Den,725185,9840831,serenas,35.02389169,-1.439144837
Locke_Den,725145,9840826,serenas,35.02353237,-1.439190366
Hallelujah_Den,723071,9841425,serenas,35.00489489,-1.433790963
Egyptian_Goose,718296,9839943,happyzebra,34.96200718,-1.447228497
Rivendell_Den,723719,9841457,serenas,35.01071626,-1.433496491
Lighthouse_Den,727206,9840510,serenas,35.04205067,-1.442030859
Reese's_Den,726279,9842474,serenas,35.03370697,-1.424280819
Milky_Way_Den_Deleted,726313,9842410,serenas,35.03401293,-1.424859205
Heath_Den,726486,9842170,serenas,35.03556903,-1.427027786
Rock_Lobster,726082,9842504,serenas,35.03193692,-1.424011145
Kuni_Beach,728652,9842728,serenas,35.05502337,-1.421965267
Mr._Cluck's_Chicken_Shack_Den,726936,9840626,serenas,35.0396241,-1.440984236
Tailies_Den,726801,9840354,serenas,35.03841347,-1.443444614
Helsinki_Den,719644,9851282,serenan,34.97403242,-1.344692334
Oslo_Den,719597,9851224,serenan,34.9736106,-1.345217106
Stockholm_Den,719632,9851320,serenan,34.97392434,-1.344348831
Tallinn_Den,719639,9851358,serenan,34.97398695,-1.344005189
Copenhagen_Den,719620,9851394,serenan,34.973816,-1.343679821
Reykjavik_Den,719658,9851418,serenan,34.97415721,-1.343462539
Gothenburg_Den,719679,9851370,serenan,34.97434622,-1.343896395
Aarhus_Den,719884,9851382,serenan,34.97618781,-1.343786393
Serena_Camp,724390,9845214,serenan,35.01671512,-1.399521801
Moscow_Den,719942,9851358,serenan,34.97670905,-1.344002973
Mega_Junction,720751,9851603,serenan,34.98397516,-1.341781799
St_Petersburg_Den,719940,9851218,serenan,34.9766921,-1.345268846
Nyumba_Ndege_Den,724224,9846508,serenan,35.01521385,-1.387823226
Scrapple_Den,724111,9846482,serenan,35.01419889,-1.388059179
Crepes_Den,724243,9846030,serenan,35.01538821,-1.392144977
